"","FileName","LSOA21CD","LSOA21NM","GPSAltitude","GPSImgDirection","time_formated","time_between","five","AvgHousePrice","AvgHospitalWalkTime","IMD_Rank","IMD_Decile","Urban_rural_flag","GPSLongitude","GPSLatitude","geometry"
"1","1.jpeg","E01010888","Calderdale 004E",110.8395769,253.1574557,2024-02-09 07:38:05,NA,NA,157750,48,14812,5,"Rural",-2.01625555555556,53.7416444444444,c(-2.01625555555556, 53.7416444444444)
"2","10.jpeg","E01005482","Rochdale 010C",148.5820618,326.3672183,2024-02-09 08:26:12,312,12,67333,12,24,1,"Urban",-2.15536111111111,53.6107888888889,c(-2.15536111111111, 53.6107888888889)
"3","11.jpeg","E01005526","Rochdale 021C",146.8107759,188.567993,2024-02-09 08:31:37,325,25,89950,41,7637,3,"Urban",-2.18521666666667,53.5683833333333,c(-2.18521666666667, 53.5683833333333)
"4","12.jpeg","E01005330","Oldham 015B",144.0843658,208.1560517,2024-02-09 08:37:21,344,44,925000,28,22689,7,"Urban",-2.17125833333333,53.5416833333333,c(-2.17125833333333, 53.5416833333333)
"5","13.jpeg","E01005129","Manchester 061A",109.1343841,245.1176758,2024-02-09 08:42:38,317,17,210000,30,2128,1,"Urban",-2.2187,53.4906805555556,c(-2.2187, 53.4906805555556)
"6","14.jpeg","E01033658","Manchester 054C",31.8493924,245.4994965,2024-02-09 08:46:58,260,-40,181250,23,13707,5,"Urban",-2.2422,53.4876666666667,c(-2.2422, 53.4876666666667)
"7","15.jpeg","E01033658","Manchester 054C",37.54135375,246.3811341,2024-02-09 08:52:12,314,14,181250,23,13707,5,"Urban",-2.24315,53.4856861111111,c(-2.24315, 53.4856861111111)
"8","16.jpeg","E01033658","Manchester 054C",45.21175765,324.6529235,2024-02-09 08:57:23,311,11,181250,23,13707,5,"Urban",-2.24000555555556,53.4836722222222,c(-2.24000555555556, 53.4836722222222)
"9","17.jpeg","E01033667","Manchester 054E",46.70211353,222.1126253,2024-02-09 09:02:27,304,4,185000,22,13056,4,"Urban",-2.23688333333333,53.4815111111111,c(-2.23688333333333, 53.4815111111111)
"10","18.jpeg","E01033653","Manchester 055B",48.38931274,67.36113744,2024-02-09 09:07:58,331,31,205000,18,11026,4,"Urban",-2.23370833333333,53.480025,c(-2.23370833333333, 53.480025)
"11","19.jpeg","E01033661","Manchester 055E",40.70740149,92.07567597,2024-02-09 09:12:40,282,-18,222500,27,20089,6,"Urban",-2.23053611111111,53.4775416666667,c(-2.23053611111111, 53.4775416666667)
"12","2.jpeg","E01010923","Calderdale 004F",101.0746739,112.0013657,2024-02-09 07:42:56,291,-9,132000,46,11530,4,"Rural",-2.01409444444444,53.7405083333333,c(-2.01409444444444, 53.7405083333333)
"13","20.jpeg","E01033661","Manchester 055E",45.6384239,328.90094,2024-02-09 09:18:05,325,25,222500,27,20089,6,"Urban",-2.22996388888889,53.4772638888889,c(-2.22996388888889, 53.4772638888889)
"14","21.jpeg","E01033661","Manchester 055E",46.20346447,257.2163389,2024-02-09 09:24:46,401,101,222500,27,20089,6,"Urban",-2.23031666666667,53.4772944444444,c(-2.23031666666667, 53.4772944444444)
"15","22.jpeg","E01005869","Stockport 006D",47.062954,327.3717957,2024-02-09 09:30:26,340,40,215000,32,24343,8,"Urban",-2.18130277777778,53.4300083333333,c(-2.18130277777778, 53.4300083333333)
"16","23.jpeg","E01005766","Stockport 014C",47.062954,88.24151609,2024-02-09 09:35:56,330,30,138000,26,4730,2,"Urban",-2.16255277777778,53.4017555555556,c(-2.16255277777778, 53.4017555555556)
"17","24.jpeg","E01018662","Cheshire East 002B",47.062954,298.2568053,2024-02-09 09:41:17,321,21,385000,31,32503,10,"Urban",-2.13983055555556,53.3449694444444,c(-2.13983055555556, 53.3449694444444)
